PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
529.2,565,602,563,850,1
528.6,565,850.8,617,260,1
617.4,576,319.6,617,723,0
613.2,576,450,613,113,0
612.6,576,550,613,238,0
612.6,576,850.8,613,613,1
613.2,334,37.2,613,723,0
369.6,334,450,214,466,0
370.2,334,550,214,591,0
369.6,334,757.2,214,850,1
439.8,334,850.8,482,66,1
482.4,528,450,482,692,0
481.8,528,474.8,482,723,0
425.4,528,550,304,44,0
304.2,528,850.8,304,419,1
303.6,368,192.4,304,723,0
235.2,368,450,235,272,0
234.6,368,550,235,397,0
234.6,368,810.8,235,723,1
261,368,850.8,261,-1,1
261.6,467,450,261,625,0
261.6,467,528.4,261,723,0
245.4,467,550,205,-23,0
204.6,467,850.8,205,352,1
204.6,462,246,205,723,0
196.8,462,450,197,205,0
197.4,462,550,197,330,0
197.4,462,850.8,197,705,1
196.8,618,-36.4,197,723,0
484.8,618,450,485,558,0
485.4,618,550,485,683,0
485.4,618,582,485,723,0
283.8,618,850.8,210,285,1
210,352,299.6,210,723,0
315.6,352,450,315,138,0
315,352,550,315,263,0
315,352,850.8,315,638,1
315,298,17.2,315,723,0
610.8,298,450,611,491,0
611.4,298,550,611,616,0
610.8,298,635.6,611,723,1
449.4,298,850.8,217,218,1
216.6,408,353.2,217,723,0
289.2,408,450,603,71,0
364.2,408,550,603,196,0
372.6,408,850.8,603,571,1
539.4,479,172.4,603,850,0
603.6,479,450,604,297,0
604.2,479,550,604,422,0
603.6,479,790.8,604,723,1
587.4,479,850.8,588,24,1
588,540,450,588,650,0
587.4,540,508.4,588,723,0
574.2,540,550,550,2,0
574.2,540,850.8,550,377,1
549.6,613,226,550,723,0
381.6,613,450,296,230,0
306.6,613,550,296,355,0
295.8,613,844.4,296,723,1
291,613,850.8,223,-43,1
223.2,338,450,223,583,0
222.6,338,550,223,708,0
223.2,338,562,223,723,0
304.2,338,850.8,336,310,1
336.6,408,279.6,336,723,0
288,408,450,288,163,0
288.6,408,550,288,288,0
288.6,408,850.8,288,663,1
288,376,-2.8,288,723,0
276,376,450,276,516,0
276.6,376,550,276,641,0
276.6,376,615.6,276,723,1
342.6,376,850.8,375,243,1
375.6,549,333.2,375,723,0
288,549,450,280,96,0
280.2,549,550,280,221,0
280.2,549,850.8,280,596,1
280.2,346,50.8,280,723,0
409.2,346,450,409,449,0
408.6,346,550,409,574,0
409.2,346,669.2,409,723,1
379.8,346,850.8,309,176,1
309,622,386.8,309,723,0
270,622,450,270,29,0
270.6,622,550,270,154,0
270.6,622,850.8,270,529,1
270,435,104.4,270,723,0
380.4,435,450,380,382,0
379.8,435,550,380,507,0
379.8,435,722.8,380,723,1
283.8,435,850.8,209,109,1
208.8,255,440.4,209,723,0
216,255,450,551,-38,0
222.6,255,550,551,87,0
222.6,255,850.8,551,462,1
454.8,434,259.6,551,850,0
565.2,434,450,565,188,0
564.6,434,550,565,313,0
564.6,434,850.8,565,688,1
564.6,330,-22.8,565,723,0
411.6,330,450,412,541,0
412.2,330,550,412,666,0
411.6,330,595.6,412,723,0
475.8,330,850.8,476,268,1
475.8,515,313.2,476,723,0
373.2,515,450,331,121,0
330.6,515,550,331,246,0
330.6,515,850.8,331,621,1
331.2,384,30.8,331,723,0
261.6,384,450,262,474,0
262.2,384,550,262,599,0
262.2,384,649.2,262,723,1
181.8,384,850.8,182,201,1
182.4,392,366.8,182,723,0
244.8,392,450,389,54,0
319.8,392,550,389,179,0
360.6,392,850.8,389,554,1
389.4,517,84.4,389,723,0
610.8,517,450,611,407,0
611.4,517,550,611,532,0
610.8,517,702.8,611,723,1
